"","Lab","Freq","Group","Borough"
"1","Jan",210000,"Month","the United States"
"2","Feb",190000,"Month","the United States"
"3","Mar",245000,"Month","the United States"
"4","Apr",275000,"Month","the United States"
"5","May",3e+05,"Month","the United States"
"6","Jun",295000,"Month","the United States"
"7","Jul",325000,"Month","the United States"
"8","Aug",280000,"Month","the United States"
"9","Sep",250000,"Month","the United States"
"10","Oct",240000,"Month","the United States"
"11","Nov",220000,"Month","the United States"
"12","Dec",225000,"Month","the United States"
"13","Sun",5e+05,"Weekday","the United States"
"14","Mon",440000,"Weekday","the United States"
"15","Tue",4e+05,"Weekday","the United States"
"16","Wed",380000,"Weekday","the United States"
"17","Thu",390000,"Weekday","the United States"
"18","Fri",440000,"Weekday","the United States"
"19","Sat",501000,"Weekday","the United States"
